match_id,team_id,team_name,player_id,player_name,player_nickname,jersey_number,country_id,country_name,from,to,from_period,to_period,starter,on_bench,position_id,position_name,position_from,position_to,start_reason,end_reason
3857254,776,Denmark,3043,Christian Dannemann Eriksen,Christian Eriksen,10,61,Denmark,,,,,,,15.0,Left Center Midfield,00:00,50:24,Starting XI,Tactical Shift
3857254,776,Denmark,3570,Pierre-Emile Højbjerg,,23,61,Denmark,,,,,,,13.0,Right Center Midfield,00:00,50:24,Starting XI,Tactical Shift
3857254,776,Denmark,3815,Kasper Schmeichel,,1,61,Denmark,,,,,,,1.0,Goalkeeper,00:00,,Starting XI,Final Whistle
3857254,776,Denmark,3959,Andreas Christensen,,6,61,Denmark,,,,,,,5.0,Left Center Back,00:00,,Starting XI,Final Whistle
3857254,776,Denmark,4447,Martin Braithwaite Christensen,Martin Braithwaite,9,61,Denmark,,,,,,,,,,,,
3857254,776,Denmark,5524,Jens Stryger Larsen,,17,61,Denmark,,,,,,,,,,,,
3857254,776,Denmark,5527,Thomas Delaney,,8,61,Denmark,,,,,,,10.0,Center Defensive Midfield,00:00,45:32,Starting XI,Substitution - Off (Injury)
3857254,776,Denmark,5534,Simon Thorup Kjær,Simon Kjær,4,61,Denmark,,,,,,,4.0,Center Back,00:00,63:59,Starting XI,Substitution - Off (Tactical)
3857254,776,Denmark,5536,Yussuf Yurary Poulsen,Yussuf Poulsen,20,61,Denmark,,,,,,,,,,,,
3857254,776,Denmark,5732,Andreas Evald Cornelius,Andreas Cornelius,21,61,Denmark,,,,,,,23.0,Center Forward,64:28,,Substitution - On (Tactical),Final Whistle
3857254,776,Denmark,6302,Kasper Dolberg,,12,61,Denmark,,,,,,,24.0,Left Center Forward,00:00,50:24,Starting XI,Tactical Shift
3857254,776,Denmark,6797,Daniel Wass,,18,61,Denmark,,,,,,,,,,,,
3857254,776,Denmark,7097,Christian Nørgaard,,15,61,Denmark,,,,,,,,,,,,
3857254,776,Denmark,8247,Joachim Andersen,,2,61,Denmark,,,,,,,3.0,Right Center Back,00:00,,Starting XI,Final Whistle
3857254,776,Denmark,12420,Frederik Rønnow,,22,61,Denmark,,,,,,,,,,,,
3857254,776,Denmark,16190,Rasmus Nissen Kristensen,Rasmus Kristensen,13,61,Denmark,,,,,,,7.0,Right Wing Back,00:00,66:10,Starting XI,Tactical Shift
3857254,776,Denmark,16294,Robert Skov,,24,61,Denmark,,,,,,,,,,,,
3857254,776,Denmark,16554,Joakim Mæhle,Joakim Maehle,5,61,Denmark,,,,,,,8.0,Left Wing Back,00:00,66:10,Starting XI,Tactical Shift
3857254,776,Denmark,17042,Andreas Skov Olsen,,11,61,Denmark,,,,,,,22.0,Right Center Forward,00:00,50:24,Starting XI,Tactical Shift
3857254,776,Denmark,17043,Victor Nelsson,,3,61,Denmark,,,,,,,,,,,,
3857254,776,Denmark,18722,Mathias Jensen,,7,61,Denmark,,,,,,,4.0,Center Back,63:59,66:10,Substitution - On (Tactical),Tactical Shift
3857254,776,Denmark,21261,Jonas Older Wind,Jonas Wind,19,61,Denmark,,,,,,,,,,,,
3857254,776,Denmark,24443,Mikkel Damsgaard,,14,61,Denmark,,,,,,,10.0,Center Defensive Midfield,45:32,50:24,Substitution - On (Injury),Tactical Shift
3857254,776,Denmark,24547,Alexander Hartmann Bah,Alexander Bah,26,61,Denmark,,,,,,,,,,,,
3857254,776,Denmark,27038,Oliver Christensen,,16,61,Denmark,,,,,,,,,,,,
3857254,776,Denmark,27569,Jesper Lindstrøm,,25,61,Denmark,,,,,,,18.0,Right Attacking Midfield,64:28,66:10,Substitution - On (Tactical),Tactical Shift
3857254,777,Tunisia,3196,Wahbi Khazri,,10,232,Tunisia,,,,,,,,,,,,
